display_name,url,class,style,id,title,target,url_type
ACTIVITY REGISTER,Default.aspx?Module=2e2d6d82-fb7c-47ab-b16a-3acacf767c92,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
AGED RECEIVABLES,Default.aspx?Module=566cb92c-4a95-4446-b6e4-a99d0d5b1116,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
AR CALL,Default.aspx?Module=6a3aced2-8b29-4b40-9681-c1475dd1755c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
BRANCH DIRECTORY LISTING,Default.aspx?Module=d314c8ba-329b-477f-a71d-6be10eb14f03,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CASH TRANSACTION LISTING,Default.aspx?Module=4206a269-eb37-4830-a998-ac4bb4dcc30d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CONTAINER RETURN,Default.aspx?Module=11fad5c3-92ea-41e0-b1aa-8f41e670b175,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CONTAINER TRANSFER BY PERIOD,Default.aspx?Module=636b6991-9595-4acc-b4f6-e6873585e980,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER DEPOSIT,Default.aspx?Module=b2fe0188-0f4c-4590-a6e0-fe223405541d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER STATEMENT,Default.aspx?Module=d6eb3982-c839-4346-9f27-3556fc105606,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EOP AUDIT REPORT,Default.aspx?Module=8ee562d0-9252-48aa-9dcd-a67431237173,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EOP CIRCLE OF ACHIEVEMENT,Default.aspx?Module=47fa7228-b47a-42db-b983-21bb03cbe2b4,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EOP FOUR WEEK,Default.aspx?Module=7798c0d3-1b28-47b1-a6db-485d0414276e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EOP FOUR WEEK BRANCH PERIOD REPORT,Default.aspx?Module=ac4cc3dc-59d6-427c-8f89-1200c5ee1459,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EQUIPMENT SALES TAX LOCATION,Default.aspx?Module=1e69c99d-73bb-4751-a309-dc6c3e10ee29,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
FLASH SALES,Default.aspx?Module=cf36383b-b61c-4dc8-a42f-158eb07f67d8,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
GL TRANSACTION,Default.aspx?Module=1e53a844-7efa-43ef-907a-9eb4950f0b73,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
INVOICE LISTING (WITH DEALERS),Default.aspx?Module=60f88c77-70ba-44df-acee-9b6230d1626f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
MODULE ANALYTIC,Default.aspx?Module=c08647d0-6a1c-477f-bb19-0ba580e32da1,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
NON-TAXABLE SALES,Default.aspx?Module=6059f7dc-6bac-4ce3-8712-2a5961f88bfe,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
NSF REPORT,Default.aspx?Module=554d78f2-b4eb-48bb-b8fe-cbf3a01ab5b6,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCT TRANSFER BY PERIOD,Default.aspx?Module=329e2ded-2fdc-42a8-b052-9b004c229c25,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCTION,Default.aspx?Module=038cbdc4-49c8-498c-bba0-fded53619700,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCTION BY PERIOD,Default.aspx?Module=204ff263-9f8f-47c9-9249-0f347239709c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PURCHASE ORDER HISTORY REPORT,Default.aspx?Module=20bed39e-4d6e-4648-b4fe-6d52fc88c432,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PURCHASE ORDER RECEIPT SUMMARY,Default.aspx?Module=e8bf6e4d-be37-4151-998f-6865fa43ab29,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PURCHASE ORDER VENDOR PRODUCTS,Default.aspx?Module=d5c8570e-3745-460c-b8d1-7cd8bc250829,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ROA FOR CURRENT CHARGES,Default.aspx?Module=e9118bb1-c569-4587-b1b6-ce3113606319,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
USERS REPORT,Default.aspx?Module=c552ad8e-b728-4121-b11d-5b7359e9f87b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
WRITEOFF LISTING,Default.aspx?Module=b1a671e1-7a10-479d-9442-9d881b1f69d7,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DAILY BRANCH REVIEW,Default.aspx?Module=111118b8-1acf-45be-8425-339115437544,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DAILY ROUTE SUMMARY,Default.aspx?Module=abafa4c1-701a-439d-ab78-f9829fe3e0fb,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EXCEPTION,Default.aspx?Module=1dca8565-7196-44eb-8c7d-3d460d2fc41e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EXCEPTION DETAIL,Default.aspx?Module=12fedf81-d279-49e4-8e3a-0ce5abb20999,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
INVOICE & RACK USAGE REPORT,Default.aspx?Module=f885dd8d-7973-4eee-8b8d-bc3d48a4fc2d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
INVOICE EDIT LIST,Default.aspx?Module=cc83bb73-66eb-4e6c-a26f-1cdd70dcbc7b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
METER READING AUDIT,Default.aspx?Module=5b5195be-ce79-475b-a7a5-d64d6eda87d5,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PERIOD END SERVICE CALL COUNT,Default.aspx?Module=088ad5e1-3cfc-4af0-b657-80317b0ed847,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ROUTE SERVICE TIME SHEET,Default.aspx?Module=f1bd9356-431f-4043-a0a3-52722368620e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SERVICE COMMENT SUMMARY,Default.aspx?Module=ea4586c7-f3c3-4bdd-80a5-32f287a54f81,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
UNSERVICED CUSTOMERS,Default.aspx?Module=7770d6d9-7719-41dd-bbd2-27b25818f68d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
WORKORDER REPORT,Default.aspx?Module=e4db33fd-1951-4b2c-9ba7-86b35816846c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
BRANCH ROUTE CHANGE,Default.aspx?Module=6162233e-2d91-43e2-8ca9-0c10d8a719bd,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER PRODUCT,Default.aspx?Module=0cb5f212-b247-4e76-b130-180743c466ff,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER RACK USAGE,Default.aspx?Module=51e0810a-a7f8-4873-8f60-e8aa7df86757,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER ROUTE HISTORY (ROUTE CARD),Default.aspx?Module=ca78eb8f-50ff-4fa0-9a80-06e795de516b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER TICKET,Default.aspx?Module=394d73fe-e08d-4efb-a8c2-39a38c8de738,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DOT PRODUCT LIST,Default.aspx?Module=9017d4a0-6537-447d-99cd-a411769bc0d4,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EQUIPMENT BRANCH MOVEMENT,Default.aspx?Module=85b2c095-9dc6-4438-a3fe-0f3214a2acc9,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EQUIPMENT MODEL COUNT,Default.aspx?Module=82e59086-17a1-4572-98d4-59033ffd3473,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EQUIPMENT MODEL PRICE,Default.aspx?Module=8d89aa40-6364-473f-9bdb-d0603fa9a850,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
EQUIPMENT MOVEMENT,Default.aspx?Module=e99e9927-a248-4846-a2c1-c3a3deb8a659,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
HAND HELD PUNCHES,Default.aspx?Module=ddb99b2d-9942-4725-ae13-d644958e0c0d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
IS CURRENT CUSTOMER CHANGE,Default.aspx?Module=b59d87e8-dccd-4184-b058-695191c65895,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
LOAD LIST,Default.aspx?Module=13035614-d04c-489c-bd26-ab9686d341de,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCT PRICE LIST,Default.aspx?Module=03daf7a0-83e5-4e59-94c9-29da00e72c45,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ROUTE SCHEDULE,Default.aspx?Module=64f34bfb-810d-424a-98b0-a44b09ca35cf,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
STOP COUNT,Default.aspx?Module=4dd4c687-51fd-43ab-b026-82b002ecb3dd,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
VEHICLE MILEAGE SUMMARY,Default.aspx?Module=28ee1baf-788d-4ba4-909e-cf6ddf2d443d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUMULATIVE REPORT,Default.aspx?Module=239db66c-f2e3-4f12-9dc5-e0d4c1555a63,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER MACHINE AND PRODUCT USAGE (WITH DEALERS),Default.aspx?Module=a7dd1c0c-66d4-45aa-932c-e2c3a6ff3e1f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER MACHINE WASHES AND PRODUCT SALES,Default.aspx?Module=47f789ad-5049-4300-83d4-63c6c08f9242,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER SALES DETAIL (WITH DEALERS),Default.aspx?Module=e493a080-cfb4-44a9-acaa-c10fbef3c42f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER SALES HISTORY,Default.aspx?Module=9c49e707-0d01-4645-9e4e-671a9931ec2f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER SALES RANKING,Default.aspx?Module=08c58651-2d90-4d4a-a35a-d56cfe2e266e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER SALES RANKING BY ROUTE,Default.aspx?Module=92364646-be24-4d3a-8335-d2901299707f,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRICE INCREASE REPORT,Default.aspx?Module=84cb84b0-fbcc-4f82-8b64-6f6bb9ad59f3,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCT CUSTOMER SALES,Default.aspx?Module=7acccc86-67f4-4402-a56c-e18e98314a82,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
PRODUCT SALES TRACKER,Default.aspx?Module=3c3b42a1-c8b4-46a3-94cd-351d6afb3e1c,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES BY CUSTOMER (WITH DEALERS),Default.aspx?Module=2dcfaa13-5dbb-4ac6-8072-9ef3f604692a,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES COMPARISON,Default.aspx?Module=77c76a9a-5576-4d7a-97be-3679a2acab4b,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
SALES HISTORY LISTING (WITH DEALERS),Default.aspx?Module=2f0e3d55-6e12-4983-82cd-baeba9ebb8ef,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
